slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x114	5	01 02 03 00 80
1	0x45	0x119	5	04 05 06 00 81
2	0x4A	0x11E	10	07 07 07 00 00 08 00 07 07 ff
3	0x54	0x128	7	08 08 00 00 07 07 ff
4	0x5B	0x12F	4	09 09 09 ff
5	0x5F	0x133	7	09 00 09 00 09 00 08
6	0x66	0x13A	4	0a 0a 0a ff
7	0x6A	0x13E	8	0a 00 0a 00 0a 00 0a ff
8	0x72	0x146	4	0b 0c 0d ff
9	0x76	0x14A	4	0b 0c 0b ff
10	0x7A	0x14E	4	0e 0f 10 ff
11	0x7E	0x152	4	0e 0f 0e ff
12	0x82	0x156	3	11 12 ff
13	0x85	0x159	4	13 14 15 ff
14	0x89	0x15D	4	13 14 13 ff
15	0x8D	0x161	4	16 17 18 ff
16	0x91	0x165	3	16 17 ff
17	0x94	0x168	1	ff
18	0x95	0x169	1	ff
19	0x96	0x16A	1	ff
20	0x97	0x16B	1	ff
21	0x98	0x16C	1	ff
22	0x99	0x16D	1	ff
23	0x9A	0x16E	1	ff
24	0x9B	0x16F	1	ff
25	0x9C	0x170	1	ff
26	0x9D	0x171	1	ff
27	0x9E	0x172	1	ff
28	0x9F	0x173	1	ff
29	0xA0	0x174	1	ff
30	0xA1	0x175	1	ff
31	0xA2	0x176	2	ff 00
