overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	12	64	64	0x12	0x1E00	0x2044	192
2	32	12	64	64	0x1A	0x1EC0	0x2104	192
3	32	12	64	64	0x22	0x1F80	0x21C4	192
4	32	5	64	53	0x2A	0x2040	0x2284	80
5	32	7	64	52	0x32	0x2090	0x22D4	112
6	32	7	64	52	0x3A	0x2100	0x2344	112
7	32	8	64	51	0x42	0x2170	0x23B4	128
8	32	6	64	53	0x4A	0x21F0	0x2434	96
9	16	3	64	4	0x52	0x2250	0x2494	24
10	16	5	64	3	0x5A	0x2268	0x24AC	40
11	16	3	80	4	0x62	0x2290	0x24D4	24
12	16	4	80	3	0x6A	0x22A8	0x24EC	32
13	16	1	112	52	0x72	0x22C8	0x250C	8
14	16	1	112	52	0x7A	0x22D0	0x2514	8
15	16	3	48	43	0x82	0x22D8	0x251C	24
16	16	5	48	42	0x8A	0x22F0	0x2534	40
17	16	8	48	40	0x92	0x2318	0x255C	64
18	16	1	80	19	0x9A	0x2358	0x259C	8
19	16	7	80	16	0xA2	0x2360	0x25A4	56
20	16	7	80	16	0xAA	0x2398	0x25DC	56
21	16	1	96	59	0xB2	0x23D0	0x2614	8
22	16	6	96	56	0xBA	0x23D8	0x261C	48
23	16	6	96	56	0xC2	0x2408	0x264C	48
