slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x10A	5	01 02 03 00 80
1	0x45	0x10F	11	04 05 06 07 08 07 08 06 05 04 ff
2	0x50	0x11A	8	04 05 06 06 06 05 04 ff
3	0x58	0x122	6	04 05 05 05 04 ff
4	0x5E	0x128	5	09 0a 0b 0c ff
5	0x63	0x12D	4	09 0a 09 ff
6	0x67	0x131	4	0b 0c 0b ff
7	0x6B	0x135	5	88 09 0a 09 ff
8	0x70	0x13A	4	0b 0c 0b ff
9	0x74	0x13E	9	0d 0e 0e 00 0e 0e 0e 0d ff
10	0x7D	0x147	5	0d 0e 0e 0d ff
11	0x82	0x14C	4	0f 10 11 ff
12	0x86	0x150	4	0f 10 0f ff
13	0x8A	0x154	4	12 13 14 ff
14	0x8E	0x158	4	12 13 12 ff
15	0x92	0x15C	4	15 16 17 ff
16	0x96	0x160	4	15 16 15 ff
17	0x9A	0x164	1	ff
18	0x9B	0x165	1	ff
19	0x9C	0x166	1	ff
20	0x9D	0x167	1	ff
21	0x9E	0x168	1	ff
22	0x9F	0x169	1	ff
23	0xA0	0x16A	1	ff
24	0xA1	0x16B	1	ff
25	0xA2	0x16C	1	ff
26	0xA3	0x16D	1	ff
27	0xA4	0x16E	1	ff
28	0xA5	0x16F	1	ff
29	0xA6	0x170	1	ff
30	0xA7	0x171	1	ff
31	0xA8	0x172	2	ff 00
