slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x16C	5	00 01 02 03 80
1	0x45	0x171	5	00 04 05 06 81
2	0x4A	0x176	14	0a 0b 0c 0d 0e 0f 0e 0f 0e 0d 0c 0b 0a ff
3	0x58	0x184	7	0a 0b 0a 00 08 09 ff
4	0x5F	0x18B	16	19 1a 1b 1c 1d 1e 1d 1e 1d 1e 1d 1c 1b 1a 19 ff
5	0x6F	0x19B	15	19 1a 83 1b 1c 1d 1e 1d 1e 1f 20 21 22 23 ff
6	0x7E	0x1AA	7	07 07 07 07 07 07 ff
7	0x85	0x1B1	10	10 11 12 13 14 15 16 17 18 ff
8	0x8F	0x1BB	10	18 17 16 15 14 13 12 11 10 ff
9	0x99	0x1C5	1	ff
10	0x9A	0x1C6	1	ff
11	0x9B	0x1C7	1	ff
12	0x9C	0x1C8	1	ff
13	0x9D	0x1C9	1	ff
14	0x9E	0x1CA	1	ff
15	0x9F	0x1CB	1	ff
16	0xA0	0x1CC	1	ff
17	0xA1	0x1CD	1	ff
18	0xA2	0x1CE	1	ff
19	0xA3	0x1CF	1	ff
20	0xA4	0x1D0	1	ff
21	0xA5	0x1D1	1	ff
22	0xA6	0x1D2	1	ff
23	0xA7	0x1D3	1	ff
24	0xA8	0x1D4	1	ff
25	0xA9	0x1D5	1	ff
26	0xAA	0x1D6	1	ff
27	0xAB	0x1D7	1	ff
28	0xAC	0x1D8	1	ff
29	0xAD	0x1D9	1	ff
30	0xAE	0x1DA	1	ff
31	0xAF	0x1DB	1	ff
