overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	96	14	0	72	0x14	0x1E00	0x20C4	672
2	96	14	0	72	0x1C	0x20A0	0x2364	672
3	96	14	0	72	0x24	0x2340	0x2604	672
4	32	27	128	0	0x2C	0x25E0	0x28A4	432
5	32	27	128	0	0x34	0x2790	0x2A54	432
6	32	27	128	0	0x3C	0x2940	0x2C04	432
7	32	24	128	64	0x44	0x2AF0	0x2DB4	384
8	32	7	0	48	0x4C	0x2C70	0x2F34	112
9	32	7	0	48	0x54	0x2CE0	0x2FA4	112
10	32	7	0	48	0x5C	0x2D50	0x3014	112
11	32	7	0	48	0x64	0x2DC0	0x3084	112
12	32	7	0	48	0x6C	0x2E30	0x30F4	112
13	32	7	0	48	0x74	0x2EA0	0x3164	112
14	32	7	0	48	0x7C	0x2F10	0x31D4	112
15	32	7	0	48	0x84	0x2F80	0x3244	112
16	16	8	96	32	0x8C	0x2FF0	0x32B4	64
17	16	8	96	32	0x94	0x3030	0x32F4	64
18	16	8	96	32	0x9C	0x3070	0x3334	64
19	16	8	96	32	0xA4	0x30B0	0x3374	64
20	16	8	96	32	0xAC	0x30F0	0x33B4	64
21	16	8	96	32	0xB4	0x3130	0x33F4	64
22	16	8	96	32	0xBC	0x3170	0x3434	64
23	16	8	96	32	0xC4	0x31B0	0x3474	64
24	16	8	96	32	0xCC	0x31F0	0x34B4	64
25	16	12	0	56	0xD4	0x3230	0x34F4	96
26	16	12	0	56	0xDC	0x3290	0x3554	96
27	16	12	0	56	0xE4	0x32F0	0x35B4	96
28	16	12	0	56	0xEC	0x3350	0x3614	96
29	16	12	0	56	0xF4	0x33B0	0x3674	96
30	16	12	0	56	0xFC	0x3410	0x36D4	96
31	16	12	0	56	0x104	0x3470	0x3734	96
32	16	12	0	56	0x10C	0x34D0	0x3794	96
33	16	12	0	56	0x114	0x3530	0x37F4	96
34	16	12	0	56	0x11C	0x3590	0x3854	96
35	16	12	0	56	0x124	0x35F0	0x38B4	96
