overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	16	7	0	73	0x10	0x1E00	0x207A	56
2	16	7	0	73	0x18	0x1E38	0x20B2	56
3	16	4	32	9	0x20	0x1E70	0x20EA	32
4	16	5	32	9	0x28	0x1E90	0x210A	40
5	16	5	32	10	0x30	0x1EB8	0x2132	40
6	16	5	32	11	0x38	0x1EE0	0x215A	40
7	16	5	32	12	0x40	0x1F08	0x2182	40
8	16	4	32	13	0x48	0x1F30	0x21AA	32
9	16	4	32	14	0x50	0x1F50	0x21CA	32
10	16	7	32	13	0x58	0x1F70	0x21EA	56
11	16	4	112	25	0x60	0x1FA8	0x2222	32
12	16	5	112	25	0x68	0x1FC8	0x2242	40
13	16	5	112	26	0x70	0x1FF0	0x226A	40
14	16	5	112	27	0x78	0x2018	0x2292	40
15	16	5	112	28	0x80	0x2040	0x22BA	40
16	16	4	112	29	0x88	0x2068	0x22E2	32
17	16	4	112	30	0x90	0x2088	0x2302	32
18	16	7	112	29	0x98	0x20A8	0x2322	56
19	16	22	80	0	0xA0	0x20E0	0x235A	176
20	16	22	80	0	0xA8	0x2190	0x240A	176
21	16	22	80	0	0xB0	0x2240	0x24BA	176
22	32	13	48	25	0xB8	0x22F0	0x256A	208
23	32	13	48	25	0xC0	0x23C0	0x263A	208
24	32	13	48	25	0xC8	0x2490	0x270A	208
25	16	1	64	23	0xD0	0x2560	0x27DA	8
26	16	1	64	23	0xD8	0x2568	0x27E2	8
27	16	1	64	23	0xE0	0x2570	0x27EA	8
28	16	1	64	23	0xE8	0x2578	0x27F2	8
29	16	4	64	20	0xF0	0x2580	0x27FA	32
30	16	5	64	19	0xF8	0x25A0	0x281A	40
31	16	4	80	72	0x100	0x25C8	0x2842	32
