slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x148	4	01 02 01 ff
1	0x44	0x14C	3	01 01 ff
2	0x47	0x14F	9	03 04 05 06 07 08 09 0a ff
3	0x50	0x158	8	0b 0c 0d 0e 0f 10 11 11
4	0x58	0x160	4	13 14 15 ff
5	0x5C	0x164	4	16 17 18 ff
6	0x60	0x168	7	19 1a 1b 1c 1d 1e ff
7	0x67	0x16F	4	1f 1f 1f ff
8	0x6B	0x173	8	1f 1f 00 00 1f 1f 1f ff
9	0x73	0x17B	9	01 01 00 01 02 02 01 00 ff
10	0x7C	0x184	1	ff
11	0x7D	0x185	1	ff
12	0x7E	0x186	1	ff
13	0x7F	0x187	1	ff
14	0x80	0x188	1	ff
15	0x81	0x189	1	ff
16	0x82	0x18A	1	ff
17	0x83	0x18B	1	ff
18	0x84	0x18C	1	ff
19	0x85	0x18D	1	ff
20	0x86	0x18E	1	ff
21	0x87	0x18F	1	ff
22	0x88	0x190	1	ff
23	0x89	0x191	1	ff
24	0x8A	0x192	1	ff
25	0x8B	0x193	1	ff
26	0x8C	0x194	1	ff
27	0x8D	0x195	1	ff
28	0x8E	0x196	1	ff
29	0x8F	0x197	1	ff
30	0x90	0x198	1	ff
31	0x91	0x199	1	ff
