slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x124	5	00 08 09 0a 80
1	0x45	0x129	5	00 0b 0c 0d 81
2	0x4A	0x12E	7	01 02 02 02 02 01 ff
3	0x51	0x135	8	01 02 01 00 01 02 01 ff
4	0x59	0x13D	5	04 05 06 05 ff
5	0x5E	0x142	6	04 05 06 07 05 ff
6	0x64	0x148	3	03 03 ff
7	0x67	0x14B	4	03 00 03 ff
8	0x6B	0x14F	11	0f 0f 0e 0e 0e 00 0e 0e 0f 0f ff
9	0x76	0x15A	5	0f 0e 0e 0f ff
10	0x7B	0x15F	16	10 11 12 11 15 16 8c 17 17 18 17 18 19 17 19 19
11	0x8B	0x16F	6	10 11 12 13 14 ff
12	0x91	0x175	10	1a 1a 1a 1a 1a 1a 1a 1a 1a ff
13	0x9B	0x17F	1	ff
14	0x9C	0x180	1	ff
15	0x9D	0x181	1	ff
16	0x9E	0x182	1	ff
17	0x9F	0x183	1	ff
18	0xA0	0x184	1	ff
19	0xA1	0x185	1	ff
20	0xA2	0x186	1	ff
21	0xA3	0x187	1	ff
22	0xA4	0x188	1	ff
23	0xA5	0x189	1	ff
24	0xA6	0x18A	1	ff
25	0xA7	0x18B	1	ff
26	0xA8	0x18C	1	ff
27	0xA9	0x18D	1	ff
28	0xAA	0x18E	1	ff
29	0xAB	0x18F	1	ff
30	0xAC	0x190	1	ff
31	0xAD	0x191	1	ff
