overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	64	48	48	0	0x14	0x1E00	0x2068	1536
2	64	48	48	0	0x1C	0x2400	0x2668	1536
3	32	16	64	72	0x24	0x2A00	0x2C68	256
4	32	8	64	24	0x2C	0x2B00	0x2D68	128
5	32	8	64	24	0x34	0x2B80	0x2DE8	128
6	32	8	64	24	0x3C	0x2C00	0x2E68	128
7	32	8	64	24	0x44	0x2C80	0x2EE8	128
8	16	16	16	32	0x4C	0x2D00	0x2F68	128
9	16	16	16	32	0x54	0x2D80	0x2FE8	128
10	16	16	16	32	0x5C	0x2E00	0x3068	128
11	16	16	128	32	0x64	0x2E80	0x30E8	128
12	16	16	128	32	0x6C	0x2F00	0x3168	128
13	16	16	128	32	0x74	0x2F80	0x31E8	128
14	16	8	128	48	0x7C	0x3000	0x3268	64
15	16	8	128	48	0x84	0x3040	0x32A8	64
16	32	24	0	64	0x8C	0x3080	0x32E8	384
17	32	24	0	64	0x94	0x3200	0x3468	384
18	32	24	0	64	0x9C	0x3380	0x35E8	384
19	32	24	0	64	0xA4	0x3500	0x3768	384
20	32	24	0	64	0xAC	0x3680	0x38E8	384
21	32	24	0	64	0xB4	0x3800	0x3A68	384
22	32	24	0	64	0xBC	0x3980	0x3BE8	384
23	32	16	0	64	0xC4	0x3B00	0x3D68	256
24	32	16	0	64	0xCC	0x3C00	0x3E68	256
25	32	16	0	64	0xD4	0x3D00	0x3F68	256
26	32	8	0	80	0xDC	0x3E00	0x4068	128
