overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	8	64	0	0x12	0x1E00	0x2124	128
2	32	8	64	0	0x1A	0x1E80	0x21A4	128
3	32	8	64	0	0x22	0x1F00	0x2224	128
4	32	8	64	0	0x2A	0x1F80	0x22A4	128
5	16	12	80	76	0x32	0x2000	0x2324	96
6	16	12	80	76	0x3A	0x2060	0x2384	96
7	16	12	80	76	0x42	0x20C0	0x23E4	96
8	16	12	80	76	0x4A	0x2120	0x2444	96
9	16	12	80	76	0x52	0x2180	0x24A4	96
10	16	12	80	76	0x5A	0x21E0	0x2504	96
11	32	12	64	76	0x62	0x2240	0x2564	192
12	32	12	64	76	0x6A	0x2300	0x2624	192
13	32	12	64	76	0x72	0x23C0	0x26E4	192
14	32	12	64	76	0x7A	0x2480	0x27A4	192
15	16	12	80	76	0x82	0x2540	0x2864	96
16	16	12	80	76	0x8A	0x25A0	0x28C4	96
17	16	12	80	76	0x92	0x2600	0x2924	96
18	16	12	80	76	0x9A	0x2660	0x2984	96
19	16	12	80	76	0xA2	0x26C0	0x29E4	96
20	16	12	80	76	0xAA	0x2720	0x2A44	96
21	16	12	80	76	0xB2	0x2780	0x2AA4	96
22	16	12	80	76	0xBA	0x27E0	0x2B04	96
23	32	8	112	16	0xC2	0x2840	0x2B64	128
24	32	8	112	16	0xCA	0x28C0	0x2BE4	128
25	32	8	112	16	0xD2	0x2940	0x2C64	128
26	32	8	112	16	0xDA	0x29C0	0x2CE4	128
27	16	8	128	16	0xE2	0x2A40	0x2D64	64
28	16	8	128	16	0xEA	0x2A80	0x2DA4	64
29	16	8	128	16	0xF2	0x2AC0	0x2DE4	64
30	16	8	128	16	0xFA	0x2B00	0x2E24	64
31	16	8	128	16	0x102	0x2B40	0x2E64	64
32	16	8	128	16	0x10A	0x2B80	0x2EA4	64
33	16	8	128	16	0x112	0x2BC0	0x2EE4	64
34	16	8	144	16	0x11A	0x2C00	0x2F24	64
35	16	8	144	8	0x122	0x2C40	0x2F64	64
36	16	8	144	8	0x12A	0x2C80	0x2FA4	64
37	16	8	144	8	0x132	0x2CC0	0x2FE4	64
38	16	8	144	8	0x13A	0x2D00	0x3024	64
39	16	8	144	8	0x142	0x2D40	0x3064	64
40	16	8	144	8	0x14A	0x2D80	0x30A4	64
41	16	10	0	86	0x152	0x2DC0	0x30E4	80
42	16	10	0	86	0x15A	0x2E10	0x3134	80
