slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x1A2	5	01 02 03 04 80
1	0x45	0x1A7	3	29 2a ff
2	0x48	0x1AA	2	29 ff
3	0x4A	0x1AC	2	2a ff
4	0x4C	0x1AE	22	05 06 07 08 09 0a 0b 0c 0d 0d 0c 0d 0e 0f 10 11 12 13 14 15 16 ff
5	0x62	0x1C4	12	05 06 07 08 08 11 12 13 14 15 16 ff
6	0x6E	0x1D0	8	05 05 06 13 14 15 16 ff
7	0x76	0x1D8	22	17 18 19 1a 1b 1c 1d 1e 1f 89 20 20 21 1e 1d 1c 1b 1a 19 18 17 ff
8	0x8C	0x1EE	26	17 18 19 1a 1b 1c 1d 1e 8a 21 20 20 21 1e 21 20 1f 1e 1d 1c 1b 1a 19 18 17 ff
9	0xA6	0x208	8	22 23 24 25 26 27 28 ff
10	0xAE	0x210	8	28 27 26 25 24 23 22 ff
11	0xB6	0x218	1	ff
12	0xB7	0x219	1	ff
13	0xB8	0x21A	1	ff
14	0xB9	0x21B	1	ff
15	0xBA	0x21C	1	ff
16	0xBB	0x21D	1	ff
17	0xBC	0x21E	1	ff
18	0xBD	0x21F	1	ff
19	0xBE	0x220	1	ff
20	0xBF	0x221	1	ff
21	0xC0	0x222	1	ff
22	0xC1	0x223	1	ff
23	0xC2	0x224	1	ff
24	0xC3	0x225	1	ff
25	0xC4	0x226	1	ff
26	0xC5	0x227	1	ff
27	0xC6	0x228	1	ff
28	0xC7	0x229	1	ff
29	0xC8	0x22A	1	ff
30	0xC9	0x22B	1	ff
31	0xCA	0x22C	2	ff 00
