slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x220	5	00 01 02 03 80
1	0x45	0x225	5	00 04 05 06 81
2	0x4A	0x22A	5	00 07 08 09 82
3	0x4F	0x22F	5	00 0a 0b 0c 83
4	0x54	0x234	25	0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20 21 22 23 24 ff
5	0x6D	0x24D	17	25 26 27 28 29 2a 2b 2c 2b 2c 2a 29 28 27 26 25 ff
6	0x7E	0x25E	13	25 26 27 28 28 28 28 28 28 27 26 25 ff
7	0x8B	0x26B	7	2d 2d 2d 2d 2d 2d ff
8	0x92	0x272	19	2e 2f 30 31 32 33 34 35 36 37 38 39 31 39 31 30 2f 2e ff
9	0xA5	0x285	10	2e 2f 30 31 31 31 31 30 2f ff
10	0xAF	0x28F	26	0d 0e 0f 10 11 12 13 14 15 16 17 18 8c 19 1a 1b 1c 1d 1e 1f 20 21 22 23 24 ff
11	0xC9	0x2A9	27	0d 0e 0f 10 11 12 13 14 15 16 17 18 8c 19 1a 1b 1c 1d 1e 1f 20 21 22 8d 23 24 ff
12	0xE4	0x2C4	25	0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20 21 22 23 24 ff
13	0xFD	0x2DD	25	0d 0e 0f 10 11 12 13 14 15 16 17 18 19 1a 1b 1c 1d 1e 1f 20 21 22 23 24 ff
14	0x116	0x2F6	1	ff
15	0x117	0x2F7	1	ff
16	0x118	0x2F8	1	ff
17	0x119	0x2F9	1	ff
18	0x11A	0x2FA	1	ff
19	0x11B	0x2FB	1	ff
20	0x11C	0x2FC	1	ff
21	0x11D	0x2FD	1	ff
22	0x11E	0x2FE	1	ff
23	0x11F	0x2FF	1	ff
24	0x120	0x300	1	ff
25	0x121	0x301	1	ff
26	0x122	0x302	1	ff
27	0x123	0x303	1	ff
28	0x124	0x304	1	ff
29	0x125	0x305	1	ff
30	0x126	0x306	1	ff
31	0x127	0x307	1	ff
