overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	16	8	0	48	0x18	0x1E00	0x221C	64
2	16	8	0	48	0x20	0x1E40	0x225C	64
3	16	8	0	48	0x28	0x1E80	0x229C	64
4	16	8	96	0	0x30	0x1EC0	0x22DC	64
5	16	8	96	0	0x38	0x1F00	0x231C	64
6	16	8	96	0	0x40	0x1F40	0x235C	64
7	32	8	112	8	0x48	0x1F80	0x239C	128
8	32	8	112	8	0x50	0x2000	0x241C	128
9	32	8	112	8	0x58	0x2080	0x249C	128
10	32	8	128	24	0x60	0x2100	0x251C	128
11	32	8	128	24	0x68	0x2180	0x259C	128
12	32	8	128	24	0x70	0x2200	0x261C	128
13	16	9	0	64	0x78	0x2280	0x269C	72
14	16	9	0	64	0x80	0x22C8	0x26E4	72
15	16	9	0	64	0x88	0x2310	0x272C	72
16	16	9	0	64	0x90	0x2358	0x2774	72
17	16	9	0	64	0x98	0x23A0	0x27BC	72
18	16	9	0	64	0xA0	0x23E8	0x2804	72
19	16	9	0	64	0xA8	0x2430	0x284C	72
20	32	9	0	64	0xB0	0x2478	0x2894	144
21	32	9	0	64	0xB8	0x2508	0x2924	144
22	16	9	16	64	0xC0	0x2598	0x29B4	72
23	16	9	16	64	0xC8	0x25E0	0x29FC	72
24	16	9	16	64	0xD0	0x2628	0x2A44	72
25	16	9	16	64	0xD8	0x2670	0x2A8C	72
26	16	9	16	64	0xE0	0x26B8	0x2AD4	72
27	16	9	16	64	0xE8	0x2700	0x2B1C	72
28	32	9	16	64	0xF0	0x2748	0x2B64	144
29	32	9	16	64	0xF8	0x27D8	0x2BF4	144
30	16	9	32	64	0x100	0x2868	0x2C84	72
31	16	9	32	64	0x108	0x28B0	0x2CCC	72
32	16	9	32	64	0x110	0x28F8	0x2D14	72
33	16	9	32	64	0x118	0x2940	0x2D5C	72
34	16	9	32	64	0x120	0x2988	0x2DA4	72
35	16	9	32	64	0x128	0x29D0	0x2DEC	72
36	16	9	32	64	0x130	0x2A18	0x2E34	72
37	16	3	96	88	0x138	0x2A60	0x2E7C	24
38	16	3	96	88	0x140	0x2A78	0x2E94	24
39	16	3	96	88	0x148	0x2A90	0x2EAC	24
40	16	3	96	88	0x150	0x2AA8	0x2EC4	24
41	16	3	96	88	0x158	0x2AC0	0x2EDC	24
42	16	3	96	88	0x160	0x2AD8	0x2EF4	24
43	16	3	96	88	0x168	0x2AF0	0x2F0C	24
44	16	3	96	88	0x170	0x2B08	0x2F24	24
45	16	1	48	12	0x178	0x2B20	0x2F3C	8
46	16	5	16	40	0x180	0x2B28	0x2F44	40
47	16	5	16	40	0x188	0x2B50	0x2F6C	40
48	16	5	16	40	0x190	0x2B78	0x2F94	40
49	16	5	16	40	0x198	0x2BA0	0x2FBC	40
50	16	5	16	40	0x1A0	0x2BC8	0x2FE4	40
51	16	5	16	40	0x1A8	0x2BF0	0x300C	40
52	16	5	16	40	0x1B0	0x2C18	0x3034	40
53	16	5	16	40	0x1B8	0x2C40	0x305C	40
54	16	5	16	40	0x1C0	0x2C68	0x3084	40
55	16	5	16	40	0x1C8	0x2C90	0x30AC	40
56	16	5	16	40	0x1D0	0x2CB8	0x30D4	40
57	16	5	16	40	0x1D8	0x2CE0	0x30FC	40
