slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xC2	5	01 02 03 04 ff
1	0x45	0xC7	4	01 00 03 ff
2	0x49	0xCB	4	02 00 04 ff
3	0x4D	0xCF	4	05 06 07 ff
4	0x51	0xD3	4	05 00 07 ff
5	0x55	0xD7	4	06 00 05 ff
6	0x59	0xDB	4	08 09 0a ff
7	0x5D	0xDF	4	08 00 0a ff
8	0x61	0xE3	5	09 0a 00 08 ff
9	0x66	0xE8	2	0b ff
10	0x68	0xEA	6	0b 0c 0c 0c 0b ff
11	0x6E	0xF0	8	0b 0c 0d 0d 0d 0c 0b ff
12	0x76	0xF8	11	0b 0c 0d 0e 0d 0e 0d 0e 0c 0b ff
13	0x81	0x103	1	ff
14	0x82	0x104	1	ff
15	0x83	0x105	1	ff
16	0x84	0x106	1	ff
17	0x85	0x107	1	ff
18	0x86	0x108	1	ff
19	0x87	0x109	1	ff
20	0x88	0x10A	1	ff
21	0x89	0x10B	1	ff
22	0x8A	0x10C	1	ff
23	0x8B	0x10D	1	ff
24	0x8C	0x10E	1	ff
25	0x8D	0x10F	1	ff
26	0x8E	0x110	1	ff
27	0x8F	0x111	1	ff
28	0x90	0x112	1	ff
29	0x91	0x113	1	ff
30	0x92	0x114	1	ff
31	0x93	0x115	1	ff
