overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	9	64	46	0x12	0x1E00	0x1FD4	144
2	32	12	64	40	0x1A	0x1E90	0x2064	192
3	32	9	64	39	0x22	0x1F50	0x2124	144
4	32	11	64	40	0x2A	0x1FE0	0x21B4	176
5	16	5	128	41	0x32	0x2090	0x2264	40
6	16	6	128	40	0x3A	0x20B8	0x228C	48
7	16	8	128	40	0x42	0x20E8	0x22BC	64
8	32	7	0	46	0x4A	0x2128	0x22FC	112
9	32	13	0	42	0x52	0x2198	0x236C	208
10	32	8	0	45	0x5A	0x2268	0x243C	128
11	32	20	32	67	0x62	0x22E8	0x24BC	320
12	32	20	32	67	0x6A	0x2428	0x25FC	320
13	32	20	32	67	0x72	0x2568	0x273C	320
14	32	20	32	67	0x7A	0x26A8	0x287C	320
