overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	16	14	96	43	0x12	0x1E00	0x20A6	112
2	32	14	96	43	0x1A	0x1E70	0x2116	224
3	32	14	96	43	0x22	0x1F50	0x21F6	224
4	32	14	96	43	0x2A	0x2030	0x22D6	224
5	32	14	96	43	0x32	0x2110	0x23B6	224
6	16	14	112	43	0x3A	0x21F0	0x2496	112
7	32	14	112	43	0x42	0x2260	0x2506	224
8	32	14	112	43	0x4A	0x2340	0x25E6	224
9	32	14	112	43	0x52	0x2420	0x26C6	224
10	32	14	112	43	0x5A	0x2500	0x27A6	224
11	32	14	112	43	0x62	0x25E0	0x2886	224
12	32	14	128	43	0x6A	0x26C0	0x2966	224
13	32	14	128	43	0x72	0x27A0	0x2A46	224
14	32	14	128	43	0x7A	0x2880	0x2B26	224
15	32	14	128	43	0x82	0x2960	0x2C06	224
16	32	14	128	43	0x8A	0x2A40	0x2CE6	224
17	16	14	144	43	0x92	0x2B20	0x2DC6	112
18	16	14	144	43	0x9A	0x2B90	0x2E36	112
19	16	14	144	43	0xA2	0x2C00	0x2EA6	112
20	16	14	144	43	0xAA	0x2C70	0x2F16	112
21	32	12	0	58	0xB2	0x2CE0	0x2F86	192
22	32	11	0	37	0xBA	0x2DA0	0x3046	176
23	64	22	16	7	0xC2	0x2E50	0x30F6	704
24	64	29	16	0	0xCA	0x3110	0x33B6	928
25	32	18	48	8	0xD2	0x34B0	0x3756	288
26	32	18	48	8	0xDA	0x35D0	0x3876	288
27	32	2	0	48	0xE2	0x36F0	0x3996	32
28	32	2	0	48	0xEA	0x3710	0x39B6	32
29	32	2	0	48	0xF2	0x3730	0x39D6	32
