overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	32	6	64	40	0x12	0x1E00	0x2056	96
2	32	6	64	40	0x1A	0x1E60	0x20B6	96
3	32	6	64	40	0x22	0x1EC0	0x2116	96
4	16	1	96	51	0x2A	0x1F20	0x2176	8
5	16	2	96	50	0x32	0x1F28	0x217E	16
6	16	3	96	49	0x3A	0x1F38	0x218E	24
7	16	3	96	49	0x42	0x1F50	0x21A6	24
8	16	3	96	49	0x4A	0x1F68	0x21BE	24
9	32	6	32	11	0x52	0x1F80	0x21D6	96
10	32	8	32	9	0x5A	0x1FE0	0x2236	128
11	32	11	32	8	0x62	0x2060	0x22B6	176
12	32	11	32	8	0x6A	0x2110	0x2366	176
13	32	3	96	10	0x72	0x21C0	0x2416	48
14	32	5	96	9	0x7A	0x21F0	0x2446	80
15	32	7	96	8	0x82	0x2240	0x2496	112
16	16	5	48	67	0x8A	0x22B0	0x2506	40
17	16	7	48	65	0x92	0x22D8	0x252E	56
18	16	6	48	66	0x9A	0x2310	0x2566	48
19	32	10	64	62	0xA2	0x2340	0x2596	160
20	32	10	64	62	0xAA	0x23E0	0x2636	160
21	32	10	64	62	0xB2	0x2480	0x26D6	160
22	32	10	64	62	0xBA	0x2520	0x2776	160
23	32	10	64	62	0xC2	0x25C0	0x2816	160
24	32	10	64	62	0xCA	0x2660	0x28B6	160
25	32	10	64	62	0xD2	0x2700	0x2956	160
