slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0x11A	5	01 02 03 00 80
1	0x45	0x11F	12	04 05 06 07 08 07 08 07 06 05 04 ff
2	0x51	0x12B	7	09 0a 0b 0b 0a 09 ff
3	0x58	0x132	10	09 0a 0c 0c 0c 0b 0b 0a 09 ff
4	0x62	0x13C	7	0d 0d 0e 0e 0f 0f ff
5	0x69	0x143	7	0d 0d 0e 0e 0d 0d ff
6	0x70	0x14A	7	10 10 11 11 12 12 ff
7	0x77	0x151	7	10 10 11 11 10 10 ff
8	0x7E	0x158	8	13 14 15 16 17 18 89 ff
9	0x86	0x160	2	19 89
10	0x88	0x162	10	04 05 06 07 07 07 06 05 04 ff
11	0x92	0x16C	1	ff
12	0x93	0x16D	1	ff
13	0x94	0x16E	1	ff
14	0x95	0x16F	1	ff
15	0x96	0x170	1	ff
16	0x97	0x171	1	ff
17	0x98	0x172	1	ff
18	0x99	0x173	1	ff
19	0x9A	0x174	1	ff
20	0x9B	0x175	1	ff
21	0x9C	0x176	1	ff
22	0x9D	0x177	1	ff
23	0x9E	0x178	1	ff
24	0x9F	0x179	1	ff
25	0xA0	0x17A	1	ff
26	0xA1	0x17B	1	ff
27	0xA2	0x17C	1	ff
28	0xA3	0x17D	1	ff
29	0xA4	0x17E	1	ff
30	0xA5	0x17F	1	ff
31	0xA6	0x180	2	ff 00
