slot	relative_pointer	file_offset	length	bytes_hex
0	0x40	0xB4	5	00 01 02 03 80
1	0x45	0xB9	5	00 04 05 06 81
2	0x4A	0xBE	4	0c 00 0c ff
3	0x4E	0xC2	8	07 07 00 08 08 09 09 ff
4	0x56	0xCA	6	0a 0a 00 00 07 ff
5	0x5C	0xD0	6	09 09 09 00 0a ff
6	0x62	0xD6	7	08 08 09 00 0a 07 ff
7	0x69	0xDD	2	07 ff
8	0x6B	0xDF	2	08 ff
9	0x6D	0xE1	2	09 ff
10	0x6F	0xE3	2	0a ff
11	0x71	0xE5	5	0b 0b 00 0b ff
12	0x76	0xEA	2	0b ff
13	0x78	0xEC	6	0b 00 0b 0b 0b ff
14	0x7E	0xF2	2	0c ff
15	0x80	0xF4	1	ff
16	0x81	0xF5	1	ff
17	0x82	0xF6	1	ff
18	0x83	0xF7	1	ff
19	0x84	0xF8	1	ff
20	0x85	0xF9	1	ff
21	0x86	0xFA	1	ff
22	0x87	0xFB	1	ff
23	0x88	0xFC	1	ff
24	0x89	0xFD	1	ff
25	0x8A	0xFE	1	ff
26	0x8B	0xFF	1	ff
27	0x8C	0x100	1	ff
28	0x8D	0x101	1	ff
29	0x8E	0x102	1	ff
30	0x8F	0x103	1	ff
31	0x90	0x104	2	ff 00
