overlay	width	height	x	y	descriptor_offset	graphic_offset_relative	graphic_file_offset	byte_size
1	16	39	0	0	0x14	0x1E00	0x1FC2	312
2	16	39	0	0	0x1C	0x1F38	0x20FA	312
3	16	39	0	0	0x24	0x2070	0x2232	312
4	16	8	112	16	0x2C	0x21A8	0x236A	64
5	16	8	112	16	0x34	0x21E8	0x23AA	64
6	16	8	112	16	0x3C	0x2228	0x23EA	64
7	16	8	64	16	0x44	0x2268	0x242A	64
8	16	8	64	16	0x4C	0x22A8	0x246A	64
9	16	8	64	16	0x54	0x22E8	0x24AA	64
10	16	8	64	16	0x5C	0x2328	0x24EA	64
11	32	11	16	48	0x64	0x2368	0x252A	176
12	16	5	64	30	0x6C	0x2418	0x25DA	40
